latitude,longitude,cluster
52.1158732,11.0475949,0
52.1163741,11.0477376,0
52.1168844,11.0478895,0
52.1174121,11.0480262,0
52.1179938,11.0481919,0
52.1185158,11.0483355,0
52.1190439,11.0484668,0
52.1198053,11.0486869,0
52.1146754,11.0454472,0
52.1146754,11.0454472,0
52.1151267,11.0455968,0
52.1158117,11.0457508,0
52.1164892,11.0459422,0
52.117101,11.0461147,0
52.117834,11.046328,0
52.1185659,11.0465185,0
52.1191302,11.0466744,0
52.1193331,11.0465874,0
52.1188282,11.0464389,0
52.1182883,11.0462886,0
52.1176664,11.0461307,0
52.1170586,11.0459708,0
52.1163651,11.0457747,0
52.1158137,11.0456615,0
52.1152241,11.0454932,0
52.1147786,11.0453673,0
52.1144956,11.0452777,0
52.1141856,11.0451991,0
52.1137362,11.045075,0
52.1139753,11.0450016,0
52.1144911,11.0451289,0
52.115019,11.0452938,0
52.1155281,11.0454131,0
52.1161125,11.0455786,0
52.1167497,11.0457514,0
52.1174608,11.0459508,0
52.1179077,11.0460699,0
52.1186983,11.0462749,0
52.1196407,11.0463973,0
52.1193831,11.0463204,0
52.1188202,11.0461705,0
52.1182359,11.0460131,0
52.1176376,11.0458531,0
52.1164592,11.0455305,0
52.1159597,11.0454116,0
52.115598,11.0452925,0
52.1149573,11.0451268,0
52.1145643,11.0450256,0
52.1142515,11.0446618,0
52.1157718,11.0450697,0
52.116401,11.0452472,0
52.117042,11.0454011,0
52.1176926,11.0455826,0
52.1183337,11.0457457,0
52.1188394,11.0458999,0
52.1193569,11.0460414,0
52.119095,11.0458476,0
52.1186084,11.0457028,0
52.1179662,11.0455385,0
52.117303,11.0453531,0
52.1161606,11.0450582,0
52.1156614,11.0449161,0
52.1150998,11.0447706,0
52.114666,11.0446614,0
52.1188775,11.0589455,0
52.1195835,11.0591814,0
52.1200768,11.0592309,0
52.1193457,11.0589768,0
52.118731,11.058775,0
52.1180925,11.0585586,0
52.1174313,11.0583413,0
52.1167801,11.0581478,0
52.1166582,11.0579582,0
52.1178313,11.0583606,0
52.1184796,11.0585792,0
52.1190463,11.0587761,0
52.1201106,11.059115,0
52.1168439,11.0585801,0
52.1174237,11.0587731,0
52.1178929,11.0589267,0
52.1185959,11.0591557,0
52.1190734,11.0593172,0
52.1198367,11.0599615,0
52.1198367,11.0599615,0
52.1192783,11.0597629,0
52.118581,11.0595316,0
52.1183531,11.0594561,0
52.1179085,11.0593079,0
52.1174424,11.0591579,0
